,Company,Model,Year,Price in Lak,Fuel,Kilometer,City,EMIstarts
0,Toyota,Innova 2,2013,7.85,Diesel,"1,89",Mumbai,"₹13,036"
1,Hyundai,Verna 1,2018,7.5,Petrol,"16,339",Kolkata,"₹12,455"
2,Volkswagen,Ameo Highline,2016,6.5,Diesel,"68,962",Jalgaon,
3,BMW,7 Series,2011,15.9,Diesel,"75,000",Lucknow,
4,Maruti,Suzuki Swift,2014,4.4,Petrol,"32,682",Mumbai,"₹7,306"
5,Chevrolet,Spark LS,2013,1.75,Petrol,"66,000",Lucknow,"₹2,906"
6,Maruti,Suzuki Ertiga,2017,,CNG,"83,226",Mumbai,"₹13,285"
7,MG,ZS EV,2020,,Electric,"68,894",Mumbai,"₹31,552"
8,Maruti,Suzuki Wagon,2015,3.85,Petrol,"55,488",Lucknow,"₹6,393"
9,Toyota,Etios,2013,4.25,Petrol,"51,602",Pune,"₹7,057"
10,Skoda,Rapid 1,2015,5.5,Petrol,"34,559",Pune,"₹9,133"
11,Hyundai,Creta E,2019,11.5,Diesel,"14,941",Pune,"₹19,097"
12,Hyundai,Verna Fluidic,2014,5.5,Diesel,"79,649",Pune,"₹9,133"
13,Hyundai,Grand i10,2019,5.25,Petrol,"44,620",Delhi,"₹8,718"
14,Honda,Amaze 1,2017,5.35,Petrol,"58,235",Delhi,
15,Ford,Endeavour Titanium,2017,,Diesel,"71,788",Hyderabad,
16,Hyundai,i20 Magna,2013,3.75,Petrol,"79,289",Kanpur,"₹6,227"
17,Maruti,Suzuki Vitara,2017,6.7,Diesel,"78,184",Delhi,"₹11,126"
18,Renault,Kwid RXT,2021,4.15,Petrol,"3,436",Kanpur,"₹6,891"
19,Maruti,Suzuki Ciaz,2017,8.25,Petrol,"41,468",Delhi,
20,Maruti,Suzuki Alto,2014,2.65,CNG,"65,952",Delhi,"₹4,400"
21,Honda,City 1,2014,5.78,Petrol,"47,554",Delhi,"₹9,598"
22,Maruti,Suzuki Swift,2019,5.8,Petrol,"58,595",Delhi,"₹9,631"
23,Mahindra,XUV500 W8,2013,6.58,Diesel,"58,865",Jamshedpur,"₹10,927"
24,Hyundai,Grand i10,2018,4.75,Petrol,"40,699",Lucknow,"₹7,888"
25,Mercedes,Benz C,2019,,Petrol,"15,971",Mumbai,"₹64,766"
26,Toyota,Innova Crysta,2021,,Diesel,"19,742",Mumbai,"₹51,480"
27,Honda,City V,2018,9.2,Petrol,"22,117",Mumbai,"₹15,278"
